Question	Answer
"Estou com uma dúvida sobre gclid, você pode me ajudar?"	"Claro que sim, diga qual sua dúvida."
"A tabela de cliques a minha não está marcando o que pode ser?"	"Olá, verifique se o seu Smart Click está atualizado, se sim, por favor assista o vídeo (Assista aqui caso seu relatório não funcione)."
"Quem tem a super pressel da pra usar normalmente Smart Click?"	"Sim, Super Presell e Smart Click são 100% compatíveis."
"Numa campanha nova vocês sobem o produto já com a url final do Smartclick antes da campanha qualificada? Ou esperam qualificar e alteram a url?"	"Desde o início, depois Não recomendo mexer."
"Queria saber se a Smart click da para usar em mais de um domínio se eu posso criar subdomínios e usar também?"	"A instalação é uma só ....a utilização é ilimitada, apenas copiando o script nas presell."
"Tem que ter página de cookies para colocar a URL na ClickBank v8.0?"	"Não, qualquer página serve."
"No construtor de URL, em qual opção coloco o gclid?"	"Se Não estiver determinado com um campo específico para o gclid eu recomendo colocar na posição 1 sempre."
"Após subir as conversões para a planilha, elas atualizam na hora os dados para a conta? Ou esse processo costuma durar mais de um dia?"	"O Google diz que pode levar até 48 horas, porém depois de umas 3-4 horas já costuma aparecer."
"Sou português e vivo em Portugal a planilha Google sheets tem a timezone para inserir na minha conta Google o fuso horário aparece + 01:00 é assim que coloco na planilha certo?"	"No seu caso vai ficar: Parameters:TimeZone=+0100 (na linha 6 coluna A em vermelho)."
"Minha chave instalada estava em um domínio que venceu e a hospedagem também porém para renovar está muito mais caro, aderir outra hospedagem porém essa chave diz que está instalada em outro domínio como posso resolver isso?"	"Por favor passe os seus dados que iremos verificar."
"Da pra pegar o gclid lá no relatório do super pressel também?"	"Dá sim, o glcid encontra-se lá disponível."
"Para atualizar o smartclick, tenho que desinstalar conforme é ensinado no módulo (Desinstalando corretamente o seu smartclick)?"	"Não, você pode atualizar diretamente do WordPress na parte de plugins."
"Fiz o procedimento para remover a licença de um domínio para levar para um subdomínio. Infelizmente está acontecendo um erro. Quando coloco meu email e o código da licença. Consegue me ajudar? Já desativei o plugin e desinstalei, mas não deu certo."	"Por favor desative a licença antes de desativar o Smart Click que deve funcionar."
